WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY
14-Jan-09,367,1111009477,13,13,13,18.07,1.39,1.57,0,0,1
14-Jan-09,367,1111009497,20,18,18,27.8,1.39,1.39,0,0,0
14-Jan-09,367,1111009507,14,14,14,19.32,1.38,1.38,0,0,0
14-Jan-09,367,1111035398,4,3,3,14,3.5,4.49,0,0,1
14-Jan-09,367,1111038078,3,3,3,7.5,2.5,2.5,0,0,0
14-Jan-09,367,1111038080,2,2,2,5.18,2.59,2.59,0,0,0
14-Jan-09,367,1111085319,14,13,13,26.32,1.88,1.88,0,0,0
14-Jan-09,367,1111085345,29,26,25,54.52,1.88,1.88,0,0,0
14-Jan-09,367,1111085350,35,27,25,69.3,1.98,1.98,0,0,0
14-Jan-09,367,1111087395,50,40,40,168,3.36,3.94,0,1,0
14-Jan-09,367,1111087396,61,43,42,203.13,3.33,4,0,1,0
14-Jan-09,367,1111087398,72,52,49,238.32,3.31,4,0,1,0
14-Jan-09,367,1600027527,12,10,10,38.28,3.19,3.19,0,0,0
14-Jan-09,367,1600027528,31,26,19,142.29,4.59,4.59,0,0,0
14-Jan-09,367,1600027564,56,48,42,152.32,2.72,3.07,1,0,0
14-Jan-09,367,2840004768,8,6,6,23.12,2.89,2.89,0,0,0
14-Jan-09,367,3000006340,19,17,17,38.76,2.04,2.74,0,0,1
14-Jan-09,367,3000006560,87,76,72,174,2,2.59,0,0,1
14-Jan-09,367,3000006610,48,41,41,96,2,2.59,0,0,1
14-Jan-09,367,3700019521,2,2,2,5,2.5,3.49,0,0,1
14-Jan-09,367,3700044982,2,2,2,10,5,5,0,0,0
14-Jan-09,367,3800031829,14,11,3,43.96,3.14,3.14,0,0,0
14-Jan-09,367,3800031838,36,35,34,106.56,2.96,2.96,0,0,0
14-Jan-09,367,3800039118,59,58,56,157.53,2.67,3.29,1,1,0
14-Jan-09,367,4116709428,1,1,1,3.99,3.99,4.59,0,0,1
